t_story;topic;media_time;rt_response;sleep;rating_EB;t_story_rating;rating_politiken;pets;Nationality;blue_eyes;rt_text;countryside;block_order;ID;condition;hayfever;infertility;rating_MX;gender;n_story_rating;rating_weekend_a;n_story
A new polish mafia have gained strength during the last years and have therefore spread like rats to other parts of Europe. Eastern German cities have been especially hit by this new wave of structured criminality. Local gangs have been outmaneuvered, and the polish mafia is making big money on drugs, blackmailing and protection money. Protection money is a fee that shops are required to pay to mafia. If this is not done, the shopowners will experience harsh harassment from the mafia. ;mafia;NA;9.086758632935926;NA;NA;4;NA;NA;Danish;NA;43.72400009647845;NA;1;25;1;NA;NA;NA;Female;1;NA;"A recent article in the German newspaper Die Zeit describes how polish criminals have settled down in Eastern Germany. According to Die Zeit the so called Polish Mafia is very structured in their approach and have quickly gained influence on the drug and blackmail market in several East German cities.They have become particularly notorious for their use of so called ""protection"" money. Mafia members visit local shops and cafes and require a fee to be paid in return for protection. It is unclear whom they are protected from when they pay, but it is clear that if they refuse to pay, their shops and cafes are likely to be vandalized by mafia members. "
Corruption has long been a serious political threat in Eastern European countries, however new analyses suggest that the problem might have more widespread consequences than previously thought. Not only have corruption increased by 35 percent over the past 40 years in these countries, but according to EU it is no a tendency that inflates our concept of Democracy. Transparency International reports that the direct influence of corruption on the average citizen is increasing as a result of this tendency. ;corruption;NA;5.007008061631495;NA;NA;2;NA;NA;Danish;NA;36.92826795264136;NA;1;25;1;NA;NA;NA;Female;1;NA;Transparency International, an organisation based in Germany fighting corruption, has recently published an analysis, which indicates an increase of corruption in Eastern European countries of 35 percent over the past 40 years. The increase is seen in both the private and public sectors, and several local analysts describe this as a steady tendency challenging their concept of Democracy. Peter Eigen, Director of Transparency International, comments that this tendency has serious consequences for both private companies investing in new markets, as well as the general population who increasingly are paying to corruption, either directly or indirectly. 
A team of researchers warns against the international dangers of the Icelandic volcano Kverkfjoll. Their conclusion is based on studies of an abnormal layer 8 kilometers below the surface of the earth. This abnormal layer suggests a large deposit of active magma. The international team have estimated that an eruption with this size will have the power to blow rocks and ash up to a height of 70 km and cause air pollution on massive scale. If this happens it would be the most powerful eruption in North Europe for 120 years.;volcano;NA;2.2362377752788234;NA;NA;1;NA;NA;Danish;NA;28.45595970056729;NA;1;25;0;NA;NA;NA;Female;4;NA;Recent studies of the Islandic volcano, Kverkfjoll, have found an unusual layer 8 to10 km deep in the volcano, and suggest it to be active magma. Local scientists find its activity disturbing and assume an eruption of the volcano to be the biggest nature catastrophe in Island in 120 years. It is expected that an eruption of Kverkfjoll will blow ash and stone rockets 70 km into the stratosphere, which will pulverize the air. The observatory team of the volcano is currently working on ways to prepare for the eruption, to minimize potential damage.
"A new bacteria-mutation has recently started to evolve in the most southern parts of Spain. The HKDK-bacteria attacks the calcium cycle of the body, and causes symptoms such as whitening of nails and pain in the bones. It is estimated that at least 250 people have already been treated for the HKDK-bacteria.According to the Spanish media El Mundo, the bacteria-mutation has spread like wildfire, and international media suggest that it is a problem of severe character. The mutation might be a result of the large concentrations of pesticides found in some areas, suggests the Danish professor of immunology, Preben Favrholdt.
";bacteria;NA;1.6518487765397367;NA;NA;2;NA;NA;Danish;NA;1.0504748762323288;NA;1;25;0;NA;NA;NA;Female;4;NA;The Spanish media El Mundo reports that a bacteria-mutation has put down roots in the most southern parts of Spain. According to official numbers at least 250 people have been treated for the HKDK-bacteria. However, local media suggest that the problem is far bigger. The bacteria attacks the calcium cycle of the body and the first symptoms are massive whitening of nails, which develop to intense arhritis-like pain in the attacked bones. The Spanish professor Jose Garazo, reports to El Mundo that the mutation might be associated with the large concentration of toxic pesticides in certain areas. 
Recently an article in Ingenioeren.dk claimed that at least half of the children in Shanghai, have too high amounts of lead in their blood, as a consequence of high air pollution. Air pollution is a problem rapidly spreading in many of the biggest cities in the world, and the consequences are highly riskful. It often affects both the intelligence of children and might causes behavioural problems. Further, it is suggested by international environmental organisations that the average life expectancy of a traffic officer in Beijing is only 40 years. Implementing initiatives to reduce the amount of harming particles emitted by cars and heavy industries has therefore become a central topic for the future. ;pollution;NA;1.4016944359909758;NA;NA;1;NA;NA;Danish;NA;9.941207412657604;NA;1;25;1;NA;NA;NA;Female;3;NA;High air pollution has settled as a heavy problem out in many of the biggest cities in the world. The Chinese newspaper Chinoq estimates that in 50 percent of children in Shanghai the lead levels in their blood is too high, which is thought to cause lower intelligence and behavioural problems. Local chinese authorities have reported that a traffic officer in the busy intersections of Beijing has an average life expectancy of only 40 years. It has therefore become part of the local agenda, to implement initiatives, which can lower the amount of harming particles, deduced by cars and heavy industries.
A so far unseen concentration of acid in rain was reported last year near Denmark. International news stations announced that Polish weather stations reported record high concentrations of acid. Why the problem of acid rain is rising near Denmark is unknown, but it is reasonable to assume that the problem will spread due to the heavy industries found across Europe. Inhaling increased amounts of acid is dangerous as it damages our respiration system. It is therefore worth considering if we should employ an alarm system in case of dangerous rain.;acid rain;NA;1.6284788205766745;NA;NA;4;NA;NA;Danish;NA;23.15859229102898;NA;1;25;0;NA;NA;NA;Female;1;NA;Last year the highest concentration of acid in rainwater was measured in Polen. Not since the aftermath of Chernobyl has a higher concentration of acid been measured in Europe. Acid rain is produced by industries with a heavy use of chemicals. What the exact reason for the increase of acid is, is still not known. The rain is not only damaging to the surface of materials but can also cause damage to the human respiration system. Therefore the Polish government is considering an alarming system to in cases of extreme acid rain.
Moving from a peaceful rural area to the city can be a complicated but also dangerous affair, new research suggests. People who have grown up in rural districts lies in first place when it comes to being involved in traffic accidents in bigger cities. The obivious explanation is that they are not as experienced in navigating in the often hectic traffic found in cities. The biggest threat for people who grew up on the countryside, is when they are travelling as pedastrians. Here, they are much more likely to be hit by cars than those who did not. ;countryside;NA;1.345736685530028;NA;NA;3;NA;NA;Danish;NA;31.130211591527768;NA;1;25;NA;NA;NA;NA;Female;NA;NA;NA
According to a recent research published in the journal Environment International, carrying your phone in your pocket has a high risks of affecting your fertility negatively. The large study included 14.000 men and women, and found that when you are exposed to the electromagnetic radiation from mobile phones or other electronic devices it can reduce the mobility of the sperm to move towards the egg. In the woman it can cause reductions in the release of the hormones preparing the uterus for the egg, which challenges the fertilization of the egg. According to the researchers, the effect is primarily observed in people who normally carry their phone in their pocket (or have other devices, such as a laptop, close to the crotch) for more than 5 hours a day.;infertility;NA;1.5002850745631804;NA;NA;1;NA;NA;Danish;NA;40.91819822612251;NA;1;25;NA;NA;NA;NA;Female;NA;NA;NA
A new study from University of Amsterdam finds that sleeping on your stomach can have serious consequences. It has long been known that sleeping on your stomach places a strain on your back and spine, making it difficult to maintain a neutral spine position which can cause pain in muscles and joints. However, the consequences are apparently more serious than that. Since the spine is a pipeline for your nerves, spinal stress causes spinal stress on the nerves, and if this occurs often, it can cause chronic impairments of the affected nerves. According to the researchers the consequences can be impaired mobility or numbness of the particular body parts. ;sleep;NA;1.64200125935713;NA;NA;4;NA;NA;Danish;NA;38.891670126392455;NA;1;25;NA;NA;NA;NA;Female;NA;NA;NA
"Danish doctors have investigated the connection between hay fever and other lung diseases. Their surprising result shows that air channels and lungs develop differently in people with hay fever. This development leads to so called ""small lungs"" which can cause the dangerous disease COPD (KOL) later in life. COPD was thought to be mainly caused by smoking but the new research shows that this picture is more complicated. The danish researchers furthermore suggests that people with hay fever needs special supervision later in so that development of COPD can be caught as early as possible.";Hayfever;NA;2.2907344865307095;NA;NA;2;NA;NA;Danish;NA;19.094006352210272;NA;1;25;NA;NA;NA;NA;Female;NA;NA;NA
